id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
1e79f325-402f-4a95-9083-bdfa4ea41912,3,3,Club1BR,CPH2321,5.7.1.6,Medium,Grade 5,0,3,17.43333333,0,8,0,13,0.846153846,40,0,11300,933095
1e8ccec8-9758-4331-ab03-f84c339d2f14,4,1,Club1BR,SM-C900F,5.7.1.6,High,Grade 3,0,0,14.6,0,0,0,0,0,2,0,0,315102
1e9fa140-2f5a-48fb-a66d-3b58101fd34a,663,5,Organic,1917,5.7.1.6,High,Senior KG,0,0,9.033333333,0,0,0,0,0,8,0,0,#N/A
1ece0aa1-69a4-452a-9e9a-02b2fdfb76e7,2,9,Club1BR,1907,5.7.1.6,Medium,Grade 4,10,10,14.86666667,0,0,0,0,0,22,1,0,ahrdia
1ece2a6e-9dba-421a-a1c0-081a4bcb6796,4,5,Organic,REDMI NOTE 7 PRO,5.7.1.6,Medium,Grade 1,0,2,33.21666667,1,1,0,1,1,48,1,1880,#N/A
1edc056c-253b-4589-ad32-e081a7620cc2,1,1,Club1BR,1716,5.7.1.5,High,Grade 3,0,0,8.333333333,0,0,0,0,0,0,0,0,rquvwc
1ee4e0b1-ff75-4bc5-9fed-ba48de4f8085,22,1,Club1BR,SM-F127G,5.7.1.6,High,Grade 5,0,0,2.016666667,0,0,0,0,0,0,1,0,acykcq
1f253e83-e600-4a96-a4ef-7889f9a1aadd,20,7,Club1BR,0,0,0,Grade 1,1,2,31.53333333,0,0,0,6,0.833333333,4,0,2950,bijwip
1f5cf332-c8cb-431f-8ffe-c9daf30c527b,2,4,Club1BR,RMX2161,5.7.1.6,Medium,Grade 4,0,0,7.616666667,0,0,0,0,0,17,0,0,jlvmek
1f5fe296-05a5-4979-9179-05d86dabb998,12,6,Club1BR,SM-M127G,5.7.1.5,Low,Grade 4,0,0,1.15,0,0,0,0,0,0,0,0,198532
1f65d167-c4f3-4676-8685-7c2fc0cd70a6,102,2,Club1BR,RMX3381,5.7.1.7,Medium,Grade 1,0,0,0,0,0,0,0,0,0,0,0,eihdlk
1f8d2fbd-7953-46d5-9fc6-6425f68b7e43,1,5,Club1BR,SM-J810G,5.7.1.6,Medium,Grade 4,2,4,83.6,2,3,0,45,0.377777778,41,6,4420,kxorlk
1fa8f11c-3828-48ab-973c-fd09f173822a,3,1,Club1BR,SM-A715F,5.7.1.7,High,Grade 6,0,1,10,0,1,0,1,1,0,0,200,623231
